mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags,topic_tags
Murielle LAURENT,France,S&D,murielle.laurent@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice,LIBE,2024-12-15,,
Camilla LAURETI,Italy,S&D,camilla.laureti@europarl.europa.eu,N/A,N/A,N/A,Agriculture; regional development,AGRI; REGI,2024-12-15,,
Rada LAYKOVA,Bulgaria,ESN,rada.laykova@europarl.europa.eu,N/A,N/A,N/A,Culture; education,CULT,2024-12-15,,
Ilia LAZAROV,Bulgaria,EPP,ilia.lazarov@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; agriculture,AFET; AGRI,2024-12-15,,
Luis-Vicențiu LAZARUS,Romania,NI,luisvicentiu.lazarus@europarl.europa.eu,N/A,N/A,N/A,Legal affairs; constitutional affairs,JURI; AFCO,2024-12-15,,
Isabelle LE CALLENNEC,France,EPP,isabelle.lecallennec@europarl.europa.eu,N/A,N/A,N/A,Employment; social affairs,EMPL,2024-12-15,,
Fabrice LEGGERI,France,PfE,fabrice.leggeri@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; migration; border control - Former Frontex Director,LIBE,2024-12-15,,
Jeroen LENAERS,Netherlands,EPP,jeroen.lenaers@europarl.europa.eu,N/A,N/A,N/A,Cybersecurity; AI in law enforcement; data protection; migration - EPP Vice-Chair; Former LIBE Chair,LIBE; EMPL,2024-12-15,,
Julien LEONARDELLI,France,PfE,julien.leonardelli@europarl.europa.eu,N/A,N/A,N/A,Agriculture; fisheries,AGRI; PECH,2024-12-15,,
Janusz LEWANDOWSKI,Poland,EPP,janusz.lewandowski@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs - Former EU Commissioner,BUDG; ECON,2024-12-15,,
Miriam LEXMANN,Slovakia,EPP,miriam.lexmann@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; human rights,AFET; DROI,2024-12-15,,
Peter LIESE,Germany,EPP,peter.liese@europarl.europa.eu,N/A,N/A,N/A,Environment; public health; climate,ENVI,2024-12-15,,
Norbert LINS,Germany,EPP,norbert.lins@europarl.europa.eu,N/A,N/A,N/A,Agriculture; environment,AGRI; ENVI,2024-12-15,,
Nathalie LOISEAU,France,Renew Europe,nathalie.loiseau@europarl.europa.eu,N/A,N/A,N/A,European security; defense; foreign interference; disinformation; cybersecurity - Former Minister; EU-UK Assembly Chair,AFET; SEDE; LIBE; EUDS,2024-12-15,coordinator,
Morten LØKKEGAARD,Denmark,Renew Europe,morten.lokkegaard@europarl.europa.eu,N/A,N/A,N/A,Industry; digital media; internal market,ITRE; IMCO,2024-12-15,,
Reinhold LOPATKA,Austria,EPP,reinhold.lopatka@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Western Balkans,AFET,2024-12-15,,
Javi LÓPEZ,Spain,S&D,javi.lopez@europarl.europa.eu,N/A,N/A,N/A,Environment; foreign affairs,ENVI; AFET,2024-12-15,,
Juan Fernando LÓPEZ AGUILAR,Spain,S&D,juanfernando.lopezaguilar@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; migration; data protection,LIBE,2024-12-15,,
Antonio LÓPEZ-ISTÚRIZ WHITE,Spain,EPP,antonio.lopezisturiz@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs; foreign affairs,AFCO; AFET,2024-12-15,,
Isabella LÖVIN,Sweden,Greens/EFA,isabella.lovin@europarl.europa.eu,N/A,N/A,N/A,Industry; environment; climate,ITRE; ENVI,2024-12-15,,
Mimmo LUCANO,Italy,The Left,mimmo.lucano@europarl.europa.eu,N/A,N/A,N/A,Migration; civil liberties,LIBE,2024-12-15,,
César LUENA,Spain,S&D,cesar.luena@europarl.europa.eu,N/A,N/A,N/A,Environment; biodiversity,ENVI,2024-12-15,,
Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,EPP,elzbietakatarzyna.lukacijewska@europarl.europa.eu,N/A,N/A,N/A,Transport; regional development,TRAN; REGI,2024-12-15,,
Giuseppe LUPO,Italy,S&D,giuseppe.lupo@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; employment,ECON; EMPL,2024-12-15,,
David MCALLISTER,Germany,EPP,david.mcallister@europarl.europa.eu,N/A,N/A,N/A,EU foreign policy; transatlantic relations; Ukraine; Western Balkans - AFET Committee Chair; Former PM of Lower Saxony,AFET; INTA,2024-12-15,afet_chair; chair,
Jaak MADISON,Estonia,ECR,jaak.madison@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; defense,AFET; SEDE,2024-12-15,,
Cristina MAESTRE,Spain,S&D,cristina.maestre@europarl.europa.eu,N/A,N/A,N/A,Regional development; agriculture,REGI; AGRI,2024-12-15,,
Lara MAGONI,Italy,ECR,lara.magoni@europarl.europa.eu,N/A,N/A,N/A,Industry; tourism,ITRE; TRAN,2024-12-15,,
Péter MAGYAR,Hungary,EPP,peter.magyar@europarl.europa.eu,N/A,N/A,N/A,Environment; budgetary control - Leader of TISZA party,ENVI; CONT,2024-12-15,,
Marit MAIJ,Netherlands,S&D,marit.maij@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; development,AFET; DEVE,2024-12-15,,
Marlena MALĄG,Poland,ECR,marlena.malag@europarl.europa.eu,N/A,N/A,N/A,Employment; internal market,EMPL; IMCO,2024-12-15,,
Claudiu MANDA,Romania,S&D,claudiu.manda@europarl.europa.eu,N/A,N/A,N/A,Budgetary control; economic affairs,CONT; ECON,2024-12-15,,
Lukas MANDL,Austria,EPP,lukas.mandl@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; legal affairs; security,LIBE; JURI; SEDE,2024-12-15,vice_chair,
Yannis MANIATIS,Greece,S&D,yannis.maniatis@europarl.europa.eu,N/A,N/A,N/A,Industry; energy,ITRE,2024-12-15,,
Mario MANTOVANI,Italy,ECR,mario.mantovani@europarl.europa.eu,N/A,N/A,N/A,Legal affairs - JURI Vice-Chair,JURI,2024-12-15,vice_chair,
Pierfrancesco MARAN,Italy,S&D,pierfrancesco.maran@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection; urban affairs,IMCO,2024-12-15,,
Jagna MARCZUŁAJTIS-WALCZAK,Poland,EPP,jagna.marczulajtis@europarl.europa.eu,N/A,N/A,N/A,Culture; sport,CULT,2024-12-15,,
Marion MARÉCHAL,France,ECR,marion.marechal@europarl.europa.eu,N/A,N/A,N/A,Industry; defense,ITRE; SEDE,2024-12-15,,
Thierry MARIANI,France,PfE,thierry.mariani@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; transport,AFET; TRAN,2024-12-15,,
Ignazio Roberto MARINO,Italy,Greens/EFA,ignazioroberto.marino@europarl.europa.eu,N/A,N/A,N/A,Health; environment,ENVI; SANT,2024-12-15,,
Erik MARQUARDT,Germany,Greens/EFA,erik.marquardt@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; migration; asylum,LIBE,2024-12-15,,
Jorge MARTÍN FRÍAS,Spain,PfE,jorge.martinfrias@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection,IMCO,2024-12-15,,
Catarina MARTINS,Portugal,The Left,catarina.martins@europarl.europa.eu,N/A,N/A,N/A,Industry; women's rights,ITRE; FEMM,2024-12-15,,
Fulvio MARTUSCIELLO,Italy,EPP,fulvio.martusciello@europarl.europa.eu,N/A,N/A,N/A,Industry; energy,ITRE,2024-12-15,,
Vicent MARZÀ IBÁÑEZ,Spain,Greens/EFA,vicent.marza@europarl.europa.eu,N/A,N/A,N/A,Culture; education; regional languages,CULT,2024-12-15,,
Gabriel MATO,Spain,EPP,gabriel.mato@europarl.europa.eu,N/A,N/A,N/A,Fisheries; agriculture,PECH; AGRI,2024-12-15,,
Sara MATTHIEU,Belgium,Greens/EFA,sara.matthieu@europarl.europa.eu,N/A,N/A,N/A,Industry; employment,ITRE; EMPL,2024-12-15,,
Costas MAVRIDES,Cyprus,S&D,costas.mavrides@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; budget,ECON; BUDG,2024-12-15,,
Eva MAYDELL,Bulgaria,EPP,eva.maydell@europarl.europa.eu,N/A,N/A,N/A,Digital economy; AI regulation; innovation; blockchain,ITRE; IMCO,2024-12-15,,
Georg MAYER,Austria,PfE,georg.mayer@europarl.europa.eu,N/A,N/A,N/A,Industry; transport,ITRE; TRAN,2024-12-15,,
Milan MAZUREK,Slovakia,ESN,milan.mazurek@europarl.europa.eu,N/A,N/A,N/A,Employment; social affairs,EMPL,2024-12-15,,
Liudas MAŽYLIS,Lithuania,EPP,liudas.mazylis@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; culture,AFET; CULT,2024-12-15,,
Michael MCNAMARA,Ireland,Renew Europe,michael.mcnamara@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; AI monitoring - AI Monitoring Group co-chair,LIBE; ITRE,2024-12-15,,
Nora MEBAREK,France,S&D,nora.mebarek@europarl.europa.eu,N/A,N/A,N/A,Regional development; agriculture,REGI; AGRI,2024-12-15,,
Alexandra MEHNERT,Germany,EPP,alexandra.mehnert@europarl.europa.eu,N/A,N/A,N/A,Environment; agriculture,ENVI; AGRI,2024-12-15,,
Vangelis MEIMARAKIS,Greece,EPP,vangelis.meimarakis@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; defense - Former Parliament Speaker,AFET; SEDE,2024-12-15,,
Eleonora MELETI,Greece,EPP,eleonora.meleti@europarl.europa.eu,N/A,N/A,N/A,Environment; health,ENVI,2024-12-15,,
Ana Catarina MENDES,Portugal,S&D,anacatarina.mendes@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice,LIBE,2024-12-15,,
Idoia MENDIA,Spain,S&D,idoia.mendia@europarl.europa.eu,N/A,N/A,N/A,Internal market; employment,IMCO; EMPL,2024-12-15,,
Verena MERTENS,Germany,EPP,verena.mertens@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; women's rights,LIBE; FEMM,2024-12-15,,
Marina MESURE,France,The Left,marina.mesure@europarl.europa.eu,N/A,N/A,N/A,Industry; employment; workers' rights,ITRE; EMPL,2024-12-15,,
Roberta METSOLA,Malta,EPP,roberta.metsola@europarl.europa.eu,N/A,N/A,N/A,EU leadership; rule of law; institutional affairs - President of the European Parliament,EP Presidency,2024-12-15,ep_president,
Tilly METZ,Luxembourg,Greens/EFA,tilly.metz@europarl.europa.eu,N/A,N/A,N/A,Transport; animal welfare,TRAN; ANIT,2024-12-15,,
Sven MIKSER,Estonia,S&D,sven.mikser@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; defense - Former Foreign Minister,AFET; SEDE; ITRE,2024-12-15,,
Giuseppe MILAZZO,Italy,ECR,giuseppe.milazzo@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; fisheries,LIBE; PECH,2024-12-15,,
Francisco José MILLÁN MON,Spain,EPP,franciscojose.millanmon@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; international trade,AFET; INTA,2024-12-15,,
Nikola MINCHEV,Bulgaria,Renew Europe,nikola.minchev@europarl.europa.eu,N/A,N/A,N/A,Internal market; civil liberties - IMCO Vice-Chair; Former Parliament Speaker,IMCO; LIBE,2024-12-15,vice_chair,
Ana MIRANDA PAZ,Spain,Greens/EFA,ana.mirandapaz@europarl.europa.eu,N/A,N/A,N/A,Fisheries; regional affairs,PECH; REGI,2024-12-15,,
Csaba MOLNÁR,Hungary,S&D,csaba.molnar@europarl.europa.eu,N/A,N/A,N/A,Industry; budget,ITRE; BUDG,2024-12-15,,
Irene MONTERO,Spain,The Left,irene.montero@europarl.europa.eu,N/A,N/A,N/A,Women's rights; equality - Former Equality Minister,FEMM,2024-12-15,,"women-rights, gender-equality, violence-against-women"
Dolors MONTSERRAT,Spain,EPP,dolors.montserrat@europarl.europa.eu,N/A,N/A,N/A,Petitions; civil liberties - PETI Chair,PETI; LIBE,2024-12-15,chair; peti_chair,
Carolina MORACE,Italy,The Left,carolina.morace@europarl.europa.eu,N/A,N/A,N/A,Culture; sport; women's rights,CULT; FEMM,2024-12-15,,
Nadine MORANO,France,EPP,nadine.morano@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; security,LIBE,2024-12-15,,
Letizia MORATTI,Italy,EPP,letizia.moratti@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy,ITRE,2024-12-15,,
Tiago MOREIRA DE SÁ,Portugal,PfE,tiago.moreiradesa@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; defense,AFET; SEDE,2024-12-15,,
Javier MORENO SÁNCHEZ,Spain,S&D,javier.morenosanchez@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; migration,LIBE,2024-12-15,,
Alessandra MORETTI,Italy,S&D,alessandra.moretti@europarl.europa.eu,N/A,N/A,N/A,Environment; health,ENVI,2024-12-15,,
Dan-Ştefan MOTREANU,Romania,EPP,danstefan.motreanu@europarl.europa.eu,N/A,N/A,N/A,Agriculture; environment,AGRI; ENVI,2024-12-15,,
Arkadiusz MULARCZYK,Poland,ECR,arkadiusz.mularczyk@europarl.europa.eu,N/A,N/A,N/A,Legal affairs; foreign affairs,JURI; AFET,2024-12-15,,
Piotr MÜLLER,Poland,ECR,piotr.muller@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection,IMCO,2024-12-15,,
Ciaran MULLOOLY,Ireland,Renew Europe,ciaran.mullooly@europarl.europa.eu,N/A,N/A,N/A,Agriculture; regional development,AGRI; REGI,2024-12-15,,
Siegfried MUREŞAN,Romania,EPP,siegfried.muresan@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs - EPP Vice-Chair,BUDG; ECON,2024-12-15,,
Ştefan MUŞOIU,Romania,S&D,stefan.musoiu@europarl.europa.eu,N/A,N/A,N/A,Employment; social affairs,EMPL,2024-12-15,,
Jana NAGYOVÁ,Czechia,PfE,jana.nagyova@europarl.europa.eu,N/A,N/A,N/A,"EU affairs, national interests",ITRE,2024-12-15,,
Dario NARDELLA,Italy,S&D,dario.nardella@europarl.europa.eu,N/A,N/A,N/A,"Urban development, culture, local governance",CULT; ITRE,2024-12-15,,
Fernando NAVARRETE ROJAS,Spain,EPP,fernando.navarreterrojas@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, taxation",ECON; ITRE,2024-12-15,,
Victor NEGRESCU,Romania,S&D,victor.negrescu@europarl.europa.eu,N/A,N/A,N/A,"Digital agenda (MEP of the Year 2015), education, budgets, digitalization, innovation",BUDG; JURI; Parliament Bureau (Vice-President),2024-12-15,ep_vice_president,
Matjaž NEMEC,Slovenia,S&D,matjaz.nemec@europarl.europa.eu,N/A,N/A,N/A,"Foreign policy, international relations",AFET; LIBE,2024-12-15,,
Danuše NERUDOVÁ,Czechia,EPP,danuse.nerudova@europarl.europa.eu,N/A,N/A,N/A,"Employment, social affairs, education",EMPL,2024-12-15,,
Denis NESCI,Italy,ECR,denis.nesci@europarl.europa.eu,N/A,N/A,N/A,"Regional development, Southern Italy issues",REGI; IMCO,2024-12-15,,
Hans NEUHOFF,Germany,ESN,hans.neuhoff@europarl.europa.eu,N/A,N/A,N/A,"Cultural affairs, national-conservative policy",CULT,2024-12-15,,
Hannah NEUMANN,Germany,Greens/EFA,hannah.neumann@europarl.europa.eu,N/A,N/A,N/A,"Human rights, peace policy, security, surveillance technologies (Pegasus inquiry), Middle East policy",AFET; SEDE; LIBE; DROI,2024-12-15,coordinator,
Elena NEVADO DEL CAMPO,Spain,EPP,elena.nevadodelcampo@europarl.europa.eu,N/A,N/A,N/A,"Regional development, Extremadura region affairs",REGI,2024-12-15,,
Dan NICA,Romania,S&D,dan.nica@europarl.europa.eu,N/A,N/A,N/A,"Industry and research, digital technology, Horizon Europe, telecommunications, IT infrastructure, European Competitiveness Fund",ITRE; ENVI,2024-12-15,coordinator,
Angelika NIEBLER,Germany,EPP,angelika.niebler@europarl.europa.eu,N/A,N/A,N/A,"Industry, research, energy, cybersecurity, data governance, AI/digital policy - Rapporteur on Data Governance Act and Cybersecurity Act",ITRE; JURI; IMCO; AFET; SEDE,2024-12-15,rapporteur,
Luděk NIEDERMAYER,Czechia,EPP,ludek.niedermayer@europarl.europa.eu,N/A,N/A,N/A,"Economic/monetary affairs, anti-money laundering (lead rapporteur AMLD), tax policy, financial regulation, bank resolution",ECON; FISC; TRAN,2024-12-15,rapporteur; vice_chair,
Ville NIINISTÖ,Finland,Greens/EFA,ville.niinisto@europarl.europa.eu,N/A,N/A,N/A,"Climate policy, industrial policy, energy transition, environmental protection, security policy",ITRE; AFET; SEDE,2024-12-15,coordinator,
Cynthia NÍ MHURCHÚ,Ireland,Renew,cynthia.nimhurchu@europarl.europa.eu,N/A,N/A,N/A,"Consumer protection, internal market",IMCO,2024-12-15,,
Lefteris NIKOLAOU-ALAVANOS,Greece,NI,lefteris.nikolaoualavanos@europarl.europa.eu,N/A,N/A,N/A,"Workers' rights, social policy",EMPL,2024-12-15,,
Aleksandar NIKOLIC,France,PfE,aleksandar.nikolic@europarl.europa.eu,N/A,N/A,N/A,"Defense, national security",SEDE; ITRE,2024-12-15,,
Maria NOICHL,Germany,S&D,maria.noichl@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, gender equality, human rights, animal welfare",AGRI; FEMM; ENVI; DROI,2024-12-15,,"women-rights, agriculture, gender-equality"
Rasmus NORDQVIST,Denmark,Greens/EFA,rasmus.nordqvist@europarl.europa.eu,N/A,N/A,N/A,"Environment, climate policy",ENVI,2024-12-15,,
Andrey NOVAKOV,Bulgaria,EPP,andrey.novakov@europarl.europa.eu,N/A,N/A,N/A,"EU budget, regional development, cohesion policy",BUDG; REGI,2024-12-15,,
Mirosława NYKIEL,Poland,EPP,miroslawa.nykiel@europarl.europa.eu,N/A,N/A,N/A,"Gender equality, women's rights",FEMM; ITRE,2024-12-15,,
Daniel OBAJTEK,Poland,ECR,daniel.obajtek@europarl.europa.eu,N/A,N/A,N/A,"Industrial policy, energy, Clean Industrial Deal, EU competitiveness",ITRE; IMCO,2024-12-15,coordinator,
Janina OCHOJSKA,Poland,EPP,janina.ochojska@europarl.europa.eu,N/A,N/A,N/A,"Human rights, development aid, migration, civil liberties",DEVE; DROI; LIBE,2024-12-15,,
Ľudovít ÓDOR,Slovakia,Renew,ludovit.odor@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, taxation, financial regulation, internal market, digital economy, fintech",ECON; FISC,2024-12-15,vice_chair,
Jan-Christoph OETJEN,Germany,Renew,janchristoph.oetjen@europarl.europa.eu,N/A,N/A,N/A,"Transport policy, mobility, civil liberties, human rights - EP Vice-President",TRAN; LIBE; DROI,2024-12-15,coordinator,
Maria OHISALO,Finland,Greens/EFA,maria.ohisalo@europarl.europa.eu,N/A,N/A,N/A,"Employment rights, gender equality, social affairs",EMPL; FEMM,2024-12-15,,
Carina OHLSSON,Sweden,S&D,carina.ohlsson@europarl.europa.eu,N/A,N/A,N/A,"Environmental protection, public health, gender equality",ENVI; FEMM,2024-12-15,,
Jan OLBRYCHT,Poland,EPP,jan.olbrycht@europarl.europa.eu,N/A,N/A,N/A,"EU budget, Multiannual Financial Framework (MFF rapporteur), cohesion policy, regional development",BUDG; CONT; REGI,2024-12-15,rapporteur,
Juozas OLEKAS,Lithuania,S&D,juozas.olekas@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, defense, security",AFET; SEDE,2024-12-15,,
João OLIVEIRA,Portugal,The Left,joao.oliveira@europarl.europa.eu,N/A,N/A,N/A,"Economic justice, workers' rights, social policy",ECON; EMPL; ITRE; LIBE,2024-12-15,,
Philippe OLIVIER,France,PfE,philippe.olivier@europarl.europa.eu,N/A,N/A,N/A,"Transport, internal market, consumer protection, digital services",TRAN; IMCO,2024-12-15,,
Younous OMARJEE,France,The Left,younous.omarjee@europarl.europa.eu,N/A,N/A,N/A,"Regional development, cohesion policy, outermost regions, EU budget - EP Vice-President",REGI; BUDG; CONT,2024-12-15,ep_vice_president,
Branislav ONDRUŠ,Slovakia,NI,branislav.ondrus@europarl.europa.eu,N/A,N/A,N/A,"Employment, social affairs, citizens' petitions",EMPL; PETI,2024-12-15,,
Aodhán Ó RÍORDÁIN,Ireland,S&D,aodhan.oriordain@europarl.europa.eu,N/A,N/A,N/A,"Workers' rights, housing, civil liberties, human rights, equality, data protection, digital rights",EMPL; LIBE; DROI,2024-12-15,,
Henk Jan ORMEL,Netherlands,PfE,henkjan.ormel@europarl.europa.eu,N/A,N/A,N/A,"Agriculture, rural development, animal welfare",AGRI; ANIT,2024-12-15,,
Leoluca ORLANDO,Italy,Greens/EFA,leoluca.orlando@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, Mediterranean policy, civil liberties, constitutional matters, anti-mafia",AFET; LIBE; AFCO,2024-12-15,,
Max ORVILLE,France,Renew,max.orville@europarl.europa.eu,N/A,N/A,N/A,"Regional development, overseas territories, agriculture",REGI; AGRI,2024-12-15,,
Henrik OVERGAARD NIELSEN,Denmark,ECR,henrik.overgaardnielsen@europarl.europa.eu,N/A,N/A,N/A,"Environment, agriculture, public health",ENVI; AGRI,2024-12-15,,
Jacek OZDOBA,Poland,ECR,jacek.ozdoba@europarl.europa.eu,N/A,N/A,N/A,"Environment, civil liberties",ENVI; LIBE,2024-12-15,,
Urmas PAET,Estonia,Renew,urmas.paet@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, security policy, European defense",AFET; SEDE,2024-12-15,vice_chair,
Leire PAJÍN,Spain,S&D,leire.pajin@europarl.europa.eu,N/A,N/A,N/A,"Social policy, women's rights, health",EMPL; FEMM; JURI,2024-12-15,,
Valentina PALMISANO,Italy,The Left,valentina.palmisano@europarl.europa.eu,N/A,N/A,N/A,"Social policy, environmental issues",AGRI; ENVI,2024-12-15,,
Fidias PANAYIOTOU,Cyprus,NI,fidias.panayiotou@europarl.europa.eu,N/A,N/A,N/A,"Digital engagement, independent policy",CULT,2024-12-15,,
Kostas PAPADAKIS,Greece,NI,kostas.papadakis@europarl.europa.eu,N/A,N/A,N/A,"Workers' rights, anti-EU policies",EMPL,2024-12-15,,
Nikos PAPANDREOU,Greece,S&D,nikos.papandreou@europarl.europa.eu,N/A,N/A,N/A,"Social policy, Greek affairs",EMPL; CULT,2024-12-15,,
Nikos PAPPAS,Greece,The Left,nikos.pappas@europarl.europa.eu,N/A,N/A,N/A,"Digital policy, energy transition, research policy, industrial policy, AI Act implementation, digital sovereignty",ITRE,2024-12-15,,
Nicolás PASCUAL DE LA PARTE,Spain,EPP,nicolas.pascualdelaparte@europarl.europa.eu,N/A,N/A,N/A,"Conservative policy, foreign affairs",AFET,2024-12-15,,
Aldo PATRICIELLO,Italy,PfE,aldo.patriciello@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, industry policy, digital services",IMCO; ITRE,2024-12-15,,
Jutta PAULUS,Germany,Greens/EFA,jutta.paulus@europarl.europa.eu,N/A,N/A,N/A,"Energy policy, climate, environmental technology, green industry, sustainable digital infrastructure",ITRE; ENVI,2024-12-15,,
Ana Miguel PEDRO,Portugal,EPP,anamiguel.pedro@europarl.europa.eu,N/A,N/A,N/A,"Conservative policy, Portuguese affairs, civil liberties",LIBE,2024-12-15,,
Gaetano PEDULLÀ,Italy,The Left,gaetano.pedulla@europarl.europa.eu,N/A,N/A,N/A,"Consumer protection, digital markets, industry policy, AI governance",IMCO; ITRE; LIBE,2024-12-15,,
Thomas PELLERIN-CARLIN,France,S&D,thomas.pellerincarlin@europarl.europa.eu,N/A,N/A,N/A,"Energy policy, climate, research policy, industrial transformation",ITRE,2024-12-15,,
Guillaume PELTIER,France,ECR,guillaume.peltier@europarl.europa.eu,N/A,N/A,N/A,"Conservative policy, French national interests",AFET,2024-12-15,,
Tsvetelina PENKOVA,Bulgaria,S&D,tsvetelina.penkova@europarl.europa.eu,N/A,N/A,N/A,"Digital policy, AI Act, cybersecurity, energy, research, industry, telecommunications, data governance, consumer protection",ITRE; IMCO,2024-12-15,itre_vice_chair; vice_chair,
Gilles PENNELLE,France,PfE,gilles.pennelle@europarl.europa.eu,N/A,N/A,N/A,National sovereignty,BUDG,2024-12-15,,
Lídia PEREIRA,Portugal,EPP,lidia.pereira@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, budgets, finance",ECON; BUDG,2024-12-15,,
Alvise PÉREZ,Spain,NI,alvise.perez@europarl.europa.eu,N/A,N/A,N/A,Anti-establishment politics,LIBE,2024-12-15,,
Kira Marie PETER-HANSEN,Denmark,Greens/EFA,kiramarie.peterhansen@europarl.europa.eu,N/A,N/A,N/A,"Energy policy, green industry, digital sustainability, youth policy, legal affairs",ITRE; ENVI; JURI,2024-12-15,,
Hristo PETROV,Bulgaria,Renew,hristo.petrov@europarl.europa.eu,N/A,N/A,N/A,"Democratic reform, anti-corruption",CONT; LIBE,2024-12-15,,
Michele PICARO,Italy,ECR,michele.picaro@europarl.europa.eu,N/A,N/A,N/A,Conservative policy,TRAN,2024-12-15,,
Pina PICIERNO,Italy,S&D,pina.picierno@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, democracy, foreign affairs - EP Vice-President",AFET; LIBE,2024-12-15,,"women-rights, democracy, foreign-affairs"
Tonino PICULA,Croatia,S&D,tonino.picula@europarl.europa.eu,N/A,N/A,N/A,"Foreign affairs, Western Balkans, EU enlargement",AFET,2024-12-15,,
Pascale PIERA,France,PfE,pascale.piera@europarl.europa.eu,N/A,N/A,N/A,"Industry policy, energy, research, legal affairs, civil liberties",ITRE; JURI; LIBE,2024-12-15,,
Sirpa PIETIKÄINEN,Finland,EPP,sirpa.pietikainen@europarl.europa.eu,N/A,N/A,N/A,"Economic policy, environment, sustainable finance",ECON; ENVI,2024-12-15,,"women-rights, sustainable-finance, gender-equality"
Pierre PIMPIE,France,PfE,pierre.pimpie@europarl.europa.eu,N/A,N/A,N/A,National sovereignty,BUDG,2024-12-15,,
Gheorghe PIPEREA,Romania,ECR,gheorghe.piperea@europarl.europa.eu,N/A,N/A,N/A,"Consumer protection, internal market, digital services, AI Act implementation, legal affairs",IMCO; JURI,2024-12-15,,
Margarita DE LA PISA CARRIÓN,Spain,PfE,margarita.delapisacarrion@europarl.europa.eu,N/A,N/A,N/A,"Energy policy, industry, family values, conservative social policy",ITRE; FEMM,2024-12-15,,
Jaroslava POKORNÁ JERMANOVÁ,Czechia,PfE,jaroslava.pokornajermanova@europarl.europa.eu,N/A,N/A,N/A,Czech national interests,EMPL,2024-12-15,,
Daniele POLATO,Italy,ECR,daniele.polato@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, digital services",IMCO,2024-12-15,,
Jessica POLFJÄRD,Sweden,EPP,jessica.polfjard@europarl.europa.eu,N/A,N/A,N/A,"Fisheries, environment, public health, agriculture",PECH; ENVI; AGRI,2024-12-15,,
Virgil-Daniel POPESCU,Romania,EPP,virgildaniel.popescu@europarl.europa.eu,N/A,N/A,N/A,"Energy policy, industry, digital transformation, research",ITRE,2024-12-15,,
Reinis POZŅAKS,Latvia,ECR,reinis.poznaks@europarl.europa.eu,N/A,N/A,N/A,"Internal market, consumer protection, digital services, data governance",IMCO,2024-12-15,,
Vladimir PREBILIČ,Slovenia,Greens/EFA,vladimir.prebilic@europarl.europa.eu,N/A,N/A,N/A,"Green policy, sustainable development",REGI; ENVI,2024-12-15,,
Giusi PRINCI,Italy,EPP,giusi.princi@europarl.europa.eu,N/A,N/A,N/A,"General EPP policy, education",CULT,2024-12-15,,
Nicola PROCACCINI,Italy,ECR,nicola.procaccini@europarl.europa.eu,N/A,N/A,N/A,"Industry policy, energy, research, digital transformation - ECR Co-Chair",ITRE; LIBE,2024-12-15,,
Jacek PROTAS,Poland,EPP,jacek.protas@europarl.europa.eu,N/A,N/A,N/A,"Regional policy, Polish affairs",REGI,2024-12-15,,
